nse_ticker,custom_basic_industry
# ═══════════════════════════════════════════════════════════════════════════════
# Custom sub-classification overrides for NSE basic_industry groups
# ═══════════════════════════════════════════════════════════════════════════════
# NSE official basic_industry is too coarse for some groups (e.g. "Heavy
# Electrical Equipment" lumps HVDC/wind/transformers/switchgear together).
# This file provides a finer classification for trading/RS analysis.
#
# Only tickers that need reclassification are listed here. All others keep
# their NSE basic_industry from nse_stock_enriched.csv.
#
# Format: nse_ticker | custom_basic_industry
# ═══════════════════════════════════════════════════════════════════════════════

# ── Heavy Electrical Equipment → split by product focus ──────────────────────
# HVDC / Power Transmission Equipment
ABB,Electrical Equipments - HVDC
GVT&D,Electrical Equipments - HVDC
SIEMENS,Electrical Equipments - HVDC
POWERINDIA,Electrical Equipments - HVDC
TDPOWERSYS,Electrical Equipments - HVDC
CGPOWER,Electrical Equipments - HVDC

# Transformers & Switchgear
VOLTAMP,Transformers & Switchgear
SWELECTES,Transformers & Switchgear
BBL,Transformers & Switchgear
TARIL,Transformers & Switchgear
TARAPUR,Transformers & Switchgear
INDOTECH,Transformers & Switchgear
SHILCTECH,Transformers & Switchgear
SCHNEIDER,Transformers & Switchgear
ATLANTAELE,Transformers & Switchgear
SALZERELEC,Transformers & Switchgear

# Wind Energy Equipment
INOXWIND,Wind Energy Equipment
SUZLON,Wind Energy Equipment

# Power EPC & Transmission Towers
TRANSRAILL,Power EPC & Towers
SKIPPER,Power EPC & Towers
JYOTISTRUC,Power EPC & Towers
MARSONS,Power EPC & Towers
BAJEL,Power EPC & Towers
SALASAR,Power EPC & Towers

# Industrial Boilers & Turbines
THERMAX,Industrial Boilers & Engineering
BHEL,Industrial Boilers & Engineering
TRITURBINE,Industrial Boilers & Engineering

# Industrial Gears & Equipment
ELECON,Industrial Gears & Equipment
AARTECH,Industrial Gears & Equipment
SHANTIGEAR,Industrial Gears & Equipment

# Solar & Energy Storage
EXICOM,Solar & Energy Storage
SURANASOL,Solar & Energy Storage
SOLEX,Solar & Energy Storage
QPOWER,Solar & Energy Storage
WAAREEENER,Solar & Energy Storage
AVAADA,Solar & Energy Storage

# Power Electronics & UPS
ENRIN,Power Electronics & UPS
PROSTARM,Power Electronics & UPS

# Precision Engineering & Aerospace
MTARTECH,Precision Engineering & Aerospace
AZAD,Precision Engineering & Aerospace
UNIMECH,Precision Engineering & Aerospace

# EV Charging & Battery Tech
SERVOTECH,EV Charging & Battery Tech
SAATVIKGL,EV Charging & Battery Tech
AEPL,EV Charging & Battery Tech

# Smart Metering & Energy Electronics
GENUSPOWER,Smart Metering & Energy Electronics
RISHABH,Smart Metering & Energy Electronics

# Solar & Renewable Equipment Manufacturing
EMMVEE,Solar & Renewable Equipment
PREMIERENE,Solar & Renewable Equipment
UTLSOLAR,Solar & Renewable Equipment
VIKRAMSOLR,Solar & Renewable Equipment
WEBELSOLAR,Solar & Renewable Equipment
WAAREERTL,Solar & Renewable Equipment
URJA,Solar & Renewable Equipment

# Electronics Manufacturing Services
KAYNES,Electronics Manufacturing Services
SYRMA,Electronics Manufacturing Services
AVALON,Electronics Manufacturing Services

# ── Other Electrical Equipment → split by product ────────────────────────────
# Cables & Wires
APARINDS,Cables & Wires - Power
DIACABS,Cables & Wires - Power
RAMRAT,Cables & Wires - Power
RELTD,Cables & Wires - Power
INA,Solar & Renewable Equipment
KECL,Cables & Wires - Power
MEIL,Cables & Wires - Power
MODISONLTD,Cables & Wires - Power
NITIRAJ,Cables & Wires - Power
PIGL,Cables & Wires - Power

# ── Telecom Equipment → already correct ──────────────────────────────────────
# STLTECH correctly classified as "Telecom - Equipment & Accessories" via NSE data

# ── IT Services → split by size/focus ────────────────────────────────────────
# Large Cap IT Services
TCS,IT Services - Large Cap
INFY,IT Services - Large Cap
WIPRO,IT Services - Large Cap
HCLTECH,IT Services - Large Cap
TECHM,IT Services - Large Cap
LTIM,IT Services - Large Cap

# Mid Cap IT Services
COFORGE,IT Services - Mid Cap
MPHASIS,IT Services - Mid Cap
PERSISTENT,IT Services - Mid Cap
KPITTECH,IT Services - Mid Cap
BSOFT,IT Services - Mid Cap
SONATSOFTW,IT Services - Mid Cap
MASTEK,IT Services - Mid Cap
ZENSARTECH,IT Services - Mid Cap
HAPPSTMNDS,IT Services - Mid Cap
NEWGEN,IT Services - Mid Cap
RATEGAIN,IT Services - Mid Cap
HEXT,IT Services - Mid Cap

# IT - Engineering Services
CYIENT,IT - Engineering Services
LTTS,IT - Engineering Services
TATATECH,IT - Engineering Services
SASKEN,IT - Engineering Services
EXPLEOSOL,IT - Engineering Services
TATAELXSI,IT - Engineering Services

# IT - Small Cap Services
3IINFOLTD,IT Services - Small Cap
63MOONS,IT Services - Small Cap
ACCELYA,IT Services - Small Cap
AURIONPRO,IT Services - Small Cap
CALSOFT,IT Services - Small Cap
CTE,IT Services - Small Cap
CYBERTECH,IT Services - Small Cap
DCI,IT Services - Small Cap
DRCSYSTEMS,IT Services - Small Cap
FRACTAL,IT Services - Small Cap
INFOBEAN,IT Services - Small Cap
INNOVANA,IT Services - Small Cap
INTELLECT,IT Services - Small Cap
KSOLVES,IT Services - Small Cap
LATENTVIEW,IT Services - Small Cap
LTM,IT Services - Small Cap
MCLOUD,IT Services - Small Cap
MINDTECK,IT Services - Small Cap
NINSYS,IT Services - Small Cap
ORCHASP,IT Services - Small Cap
RSSOFTWARE,IT Services - Small Cap
SAKSOFT,IT Services - Small Cap
SECMARK,IT Services - Small Cap
SILVERTUC,IT Services - Small Cap
SOFTTECH,IT Services - Small Cap
TREJHARA,IT Services - Small Cap
TRIGYN,IT Services - Small Cap
XCHANGING,IT Services - Small Cap
XTGLOBAL,IT Services - Small Cap

# IT Enabled Services - Data & Analytics
DATAMATICS,IT Enabled Services - Data & Analytics
CIGNITITEC,IT Enabled Services - Data & Analytics
CEINSYS,IT Enabled Services - Data & Analytics
GENESYS,IT Enabled Services - Data & Analytics
ONWARDTEC,IT Enabled Services - Data & Analytics
PROTEAN,IT Enabled Services - Data & Analytics
ORIENTTECH,IT Enabled Services - Data & Analytics
IKS,IT Enabled Services - Data & Analytics
SAGILITY,IT Enabled Services - Data & Analytics

# IT Enabled Services - Digital & Internet
AFFLE,IT Enabled Services - Digital
AMAGI,IT Enabled Services - Digital
BBOX,IT Enabled Services - Digital
EMUDHRA,IT Enabled Services - Digital
KELLTONTEC,IT Enabled Services - Digital
DIGISPICE,IT Enabled Services - Digital
INTENTECH,IT Enabled Services - Digital
VAKRANGEE,IT Enabled Services - Digital
ZAGGLE,IT Enabled Services - Digital
VERTOZ,IT Enabled Services - Digital

# IT Enabled Services - Infrastructure & Hardware
NETWEB,IT Enabled Services - Infrastructure
ADROITINFO,IT Enabled Services - Infrastructure
ADSL,IT Enabled Services - Infrastructure
BLSE,IT Enabled Services - Infrastructure
DSSL,IT Enabled Services - Infrastructure
DEVIT,IT Enabled Services - Infrastructure
PALREDTEC,IT Enabled Services - Infrastructure
SECURKLOUD,IT Enabled Services - Infrastructure
SIGMA,IT Enabled Services - Infrastructure
TERASOFT,IT Enabled Services - Infrastructure
SAHANA,IT Enabled Services - Infrastructure
ODIGMA,IT Enabled Services - Infrastructure
VLEGOV,IT Enabled Services - Infrastructure

# IT Enabled Services - Misc / Small
AIRAN,IT Enabled Services - Small Cap
ASMS,IT Enabled Services - Small Cap
AURUM,IT Enabled Services - Small Cap
DCM,IT Enabled Services - Small Cap
DIGITIDE,IT Enabled Services - Small Cap
EXCELSOFT,IT Enabled Services - Small Cap
FCSSOFT,IT Enabled Services - Small Cap
GOLDTECH,IT Enabled Services - Small Cap
GSS,IT Enabled Services - Small Cap
GVPTECH,IT Enabled Services - Small Cap
HGM,IT Enabled Services - Small Cap
RSYSTEMS,IT Enabled Services - Small Cap

# ── Pharma → split by sub-segment ────────────────────────────────────────────
# Large Cap Pharma Formulations
SUNPHARMA,Pharma - Large Cap Formulations
DRREDDY,Pharma - Large Cap Formulations
