nse_ticker,sector,industry,basic_industry,notes
20MICRONS,Metals & Mining,Minerals & Mining,Industrial Minerals,nse_official
21STCENMGM,Financial Services,Capital Markets,Other Capital Market related Services,nse_official
360ONE,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
3IINFOLTD,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
3MINDIA,Diversified,Diversified,Diversified,nse_official
3PLAND,Financial Services,Finance,Investment Company,nse_official
4THAND,Consumer,Tobacco,,
5PAISA,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
63MOONS,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
AAATECH,Services,Commercial Services & Supplies,Consulting Services,nse_official
AADHARHFC,Financial Services,Finance,Housing Finance Company,nse_official
AADINATH,Textiles,Textiles - Synthetic,,
AAREYDRUGS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AARNAV,Textiles,Textiles & Apparels,Other Textile Products,nse_official
AARON,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
AARTECH,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
AARTI,Chemicals,Specialty Chemicals,,
AARTIDRUGS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AARTIIND,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
AARTIPHARM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AARTISURF,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
AARVI,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
AAVAS,Financial Services,Finance,Housing Finance Company,nse_official
AAVIN,FMCG,FMCG - Dairy,,
ABB,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
ABBOTINDIA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ABCAPITAL,Financial Services,Finance,Investment Company,nse_official
ABCOTS,Textiles,Textiles & Apparels,Other Textile Products,nse_official
ABDL,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,nse_official
ABFRL,Consumer Services,Retailing,Speciality Retail,nse_official
ABHIINV,Metals,Steel - Sponge Iron,,
