nse_ticker,theme_key,theme_name
20MICRONS,metals,Metals & Mining
21STCENMGM,capital_markets,Capital Markets & Exchanges
360ONE,capital_markets,Capital Markets & Exchanges
3IINFOLTD,it_services,IT Services
3IINFOLTD,new_age_tech,New-Age Tech (Internet/Fintech)
5PAISA,capital_markets,Capital Markets & Exchanges
63MOONS,it_services,IT Services
63MOONS,new_age_tech,New-Age Tech (Internet/Fintech)
AAATECH,new_age_tech,New-Age Tech (Internet/Fintech)
AADHARHFC,nbfc,NBFC — Retail & Diversified
AAREYDRUGS,cdmo_pharma,CDMO / CRAMS Pharma
AAREYDRUGS,branded_pharma,Branded Formulations Pharma
AARNAV,discretionary,Premium Consumer Discretionary
AARON,capex,Broad Capital Goods Cycle
AARTECH,capex,Broad Capital Goods Cycle
AARTECH,new_age_tech,New-Age Tech (Internet/Fintech)
AARTIDRUGS,cdmo_pharma,CDMO / CRAMS Pharma
AARTIDRUGS,branded_pharma,Branded Formulations Pharma
AARTIIND,specialty_chem,Specialty Chemicals
AARTIPHARM,cdmo_pharma,CDMO / CRAMS Pharma
AARTIPHARM,branded_pharma,Branded Formulations Pharma
AARTISURF,specialty_chem,Specialty Chemicals
AAVAS,nbfc,NBFC — Retail & Diversified
ABB,renewables,Renewables & Clean Energy
ABB,capex,Broad Capital Goods Cycle
ABBOTINDIA,cdmo_pharma,CDMO / CRAMS Pharma
ABBOTINDIA,branded_pharma,Branded Formulations Pharma
ABCAPITAL,nbfc,NBFC — Retail & Diversified
ABCOTS,discretionary,Premium Consumer Discretionary
ABFRL,discretionary,Premium Consumer Discretionary
ABLBL,discretionary,Premium Consumer Discretionary
ABREL,realty,Real Estate
ABSLAMC,capital_markets,Capital Markets & Exchanges
ACC,cement,Cement
ACCELYA,it_services,IT Services
ACCURACY,logistics,Logistics & Supply Chain
ACI,specialty_chem,Specialty Chemicals
ACL,cement,Cement
ACMESOLAR,renewables,Renewables & Clean Energy
ACUTAAS,cdmo_pharma,CDMO / CRAMS Pharma
ACUTAAS,branded_pharma,Branded Formulations Pharma
ADANIENT,metals,Metals & Mining
ADANIGREEN,renewables,Renewables & Clean Energy
ADANIPORTS,logistics,Logistics & Supply Chain
ADL,discretionary,Premium Consumer Discretionary
ADOR,capex,Broad Capital Goods Cycle
ADROITINFO,it_services,IT Services
ADROITINFO,new_age_tech,New-Age Tech (Internet/Fintech)
ADSL,it_services,IT Services
ADSL,new_age_tech,New-Age Tech (Internet/Fintech)
ADVAIT,semis,Semiconductors & Electronics Manufacturing
ADVAIT,capex,Broad Capital Goods Cycle
ADVANCE,specialty_chem,Specialty Chemicals
ADVANCE,rural_agri,Rural & Agri
ADVANIHOTR,discretionary,Premium Consumer Discretionary
ADVENTHTL,discretionary,Premium Consumer Discretionary
ADVENZYMES,new_age_tech,New-Age Tech (Internet/Fintech)
AEPL,ev,Electric Vehicles
AEPL,semis,Semiconductors & Electronics Manufacturing
